,M_1,M_2,M_3,M_5,M_6,M_8,M_9,M_10,M_12,M_18,M_19,M_21,M_22,M_24,M_25,M_26,M_27,M_28,M_29,M_30,M_31,M_32,M_33,M_34,M_35,M_36,M_37,M_39,M_40,M_42,M_44,M_45,M_46,M_47,M_48,M_49,M_50,M_51,M_54,M_55,M_56,M_57,M_58,M_61,M_64,M_66,M_67,M_68,M_69,M_70,M_72,M_73,M_76,M_78,M_79,M_80,M_84,M_87,M_88,M_89,M_92,M_94,M_95,M_98,M_99,M_100,M_102,M_105,M_107,M_108,M_109,M_110,M_111,M_112,M_113,M_114,M_115,M_116,M_117,M_118,M_119,M_120,M_121,M_122,M_123,M_125,M_127,M_129,M_130,M_131,M_132,M_133,M_134,M_135,M_136,M_137,M_138,M_139,M_140,M_141,M_142,M_143,M_144,M_145,M_148,M_149,M_152,M_155,M_156,M_159,M_160,M_161,M_162,M_164,M_165,M_166,M_167,M_168,M_170,M_171
s_016um_00055_00398-1,0.0033516884,0.002132833,0.0001404658,0.0018149167,0.005088657,0.00016136467,0.0031294823,0.0056578517,7.962808e-08,-2.0954758e-09,4.8223883e-06,0.014985979,0.004533097,0.00048848987,-1.2572855e-06,2.6658177e-05,-0.00022500753,0.00036285073,0.021834016,0.016487777,0.00036220998,0.014110327,0.011410445,0.010470331,-3.6805868e-06,-2.6915222e-07,-2.6401132e-05,0.0030805767,-4.1909516e-07,0.013713032,0.02034679,7.671863e-05,0.008176655,0.00026616454,0.00013349205,-0.00024023652,4.6838075e-05,0.014983863,0.000107586384,0.019154489,0.00042629242,0.0013282448,0.010813385,0.00020905584,0.014780194,2.3182482e-05,0.024275333,4.5333058e-05,0.00022225827,0.022708178,3.4458935e-07,5.6400895e-06,1.9971281e-05,2.2118911e-09,0.03231445,7.196516e-05,0.0040644854,0.0001283586,0.010471255,0.00561136,-5.5719167e-05,0.0039713383,0.0037660003,0.0050036907,0.008979499,0.0010519922,0.0145973265,0.0054029375,0.006100446,0.0066852868,0.008004099,0.028636485,0.004405454,0.00012608618,0.0007186979,0.018862516,0.007266283,0.009110987,4.8056245e-07,-3.2447278e-06,0.0044500977,0.015623927,-1.3364479e-07,0.027131319,4.425645e-05,4.4617802e-05,-0.00014422834,2.7377158e-05,0.021497697,-0.00013639033,9.9532306e-05,5.820766e-10,0.0042227805,0.01572442,0.0054255724,0.021957517,-3.5379082e-05,0.027198464,0.045404583,0.0034156293,0.037456423,3.522262e-05,0.01317966,0.0009008497,0.031945527,0.031153083,0.025360465,0.0011881441,0.0013086796,0.0301013,5.7317317e-05,0.00013642013,0.00055832416,0.00020799041,0.009351432,6.0506165e-05,-1.587905e-07,0.0020112097,0.004737556,0.015191078
s_016um_00282_00000-1,0.0032971203,0.0022017956,0.0001515001,0.0019402355,0.0051023215,0.00021635741,0.0031477362,0.0058219135,-3.1944364e-07,-5.5879354e-09,6.48275e-05,0.01500091,0.0016400069,0.0004521981,2.2817403e-08,1.7035753e-05,-0.00021075457,0.0028221607,0.022277474,0.016041487,0.00035154074,0.013803959,0.012560904,0.01266247,-4.1950494e-05,9.313226e-10,-2.6162714e-05,0.0028521419,-1.8719584e-07,0.014589965,0.020361036,0.00024202466,0.008434325,0.0005274266,0.00016075373,-0.00024022907,3.747642e-06,0.015008658,5.4758042e-05,0.018776536,0.000398539,0.0013547987,0.009325445,0.00033336133,0.0147807,2.1405518e-05,0.024785817,0.0002623573,0.00023525953,0.023030251,-3.3341348e-07,-1.8347055e-06,-3.87989e-06,3.4924597e-09,0.032485694,6.556511e-05,0.003938213,0.00010146946,0.010459214,0.005610466,-1.2930483e-05,0.0039684772,0.0037588775,0.005008891,0.00901255,0.0011067688,0.014588833,0.0054193735,0.006347209,0.006661445,0.007702112,0.028637528,0.004431218,5.9574842e-05,0.0007571727,0.018865526,0.007285714,0.009081006,1.5506521e-07,-5.5879354e-09,0.0036423951,0.015740573,-7.683411e-08,0.027273297,6.4279884e-06,0.00017579645,-0.00014264882,4.448369e-05,0.021496594,-0.0001328662,8.883327e-05,5.543232e-06,0.004258275,0.016260535,0.006283641,0.022495478,-2.4944544e-05,0.02766323,0.048813462,0.003432259,0.037636936,3.8057566e-05,0.013179481,0.00088752806,0.029702842,0.030448318,0.025876284,0.0020667166,0.0018722415,0.029976964,4.300475e-05,0.00015249848,0.0005531907,0.00022466481,0.010585636,0.00019251555,3.4291297e-05,0.0027091056,0.004736826,0.015102804
s_016um_00389_00355-1,0.0032184422,0.0020318776,2.727285e-05,0.0018853694,0.005010128,2.6397407e-05,0.0031377673,0.0055804253,-4.785508e-05,6.9849193e-10,7.0314854e-08,0.015002817,0.00020109862,0.00043603033,-3.01674e-05,7.728115e-06,-0.00018799305,0.0027914941,0.021141648,0.015210688,0.00020487607,0.01385808,0.0014774203,0.0070901513,-0.00043285638,2.0042062e-06,-2.5875866e-05,0.0021169335,-9.564683e-07,0.014083594,0.020335913,2.8871e-08,0.007943004,5.7317317e-05,0.0002509877,-4.509464e-06,1.3187528e-06,0.014900297,-8.381903e-09,0.017938554,0.000327304,0.0012052953,0.007646024,0.00017176569,0.014781266,6.221235e-06,0.023970693,1.1874363e-08,0.00021677464,0.022377878,-7.8231096e-08,-1.4524907e-05,-0.00014651567,0.0003587529,0.034139484,4.964322e-05,0.003769666,6.2372535e-05,0.010469079,0.005718589,-9.613484e-05,0.0039328933,0.0037475675,0.0050384104,0.008998513,0.00084888935,0.014505148,0.0054484606,0.004504204,0.0067013204,0.0076442957,0.028636187,0.0043931603,4.455447e-06,0.0003849864,0.01884526,0.0070738196,0.008959144,1.92523e-05,-1.3995916e-05,0.002773419,0.014460504,0.00035010278,0.0302383,-4.7322363e-05,0.001627788,-9.442121e-05,4.8127025e-05,0.021657139,-0.000104404986,0.00017798692,0.0,0.004249409,0.015657455,0.004274413,0.021258473,-4.908815e-05,0.026909262,0.039704055,0.0034166127,0.037452668,2.9556453e-05,0.013179183,0.00081677735,0.028262496,0.029967666,0.023361176,0.00074902177,6.7126006e-05,0.02973327,-2.9556453e-05,0.00013329834,0.00048553944,0.00018976629,0.009668767,0.00012180954,-9.87649e-05,0.00019378215,0.0047530085,0.014363885
s_016um_00277_00156-1,0.0033072084,0.002224058,2.7127564e-05,0.0017517805,0.005025238,0.00020310283,0.0029987544,0.0057914853,-6.8638474e-07,4.656613e-10,8.154288e-05,0.014990509,0.0021684766,0.00043839216,-1.9324943e-08,1.2818724e-05,-0.00024189055,0.0018461645,0.021905899,0.015853941,0.000320822,0.013872445,0.021836996,0.010491282,-0.00017437339,-3.3248216e-07,-2.611801e-05,0.002772972,-4.861504e-07,0.013759643,0.020424664,5.8647245e-05,0.008064479,0.00018192828,0.00014398247,-0.00024022907,6.8172812e-06,0.014996648,2.0775944e-05,0.018536627,0.00039418042,0.0013513267,0.009894282,0.00019542128,0.014780551,2.8073788e-05,0.02464652,0.0001737997,0.00021786243,0.022488296,-6.1970204e-06,-3.1534582e-06,7.3321164e-05,-4.5169145e-08,0.03372374,0.0006763637,0.004815832,2.1915883e-05,0.01048255,0.005607128,-2.1234155e-05,0.004050821,0.0038069189,0.005012259,0.00906536,0.0010954738,0.014738798,0.005421281,0.0063333213,0.0067645013,0.007789701,0.028636336,0.004371822,4.0654093e-05,0.0005848259,0.018858641,0.007575929,0.008942813,-7.310882e-08,-1.0477379e-09,0.0031264126,0.015847623,-9.769574e-07,0.029461563,4.01102e-05,3.894791e-05,-0.0001474917,6.729737e-05,0.021369487,-0.0001302883,6.558746e-05,4.7795475e-06,0.0041116327,0.01608792,0.0056214035,0.022405505,-2.784282e-05,0.02708447,0.047130764,0.0034180135,0.037466437,3.5416335e-05,0.013179004,0.00093480945,0.03140399,0.03053075,0.025343567,0.0018749237,0.0013118833,0.029890329,8.042902e-06,0.0001532659,0.0005382225,0.0002059564,0.011159748,3.4656376e-05,2.052635e-06,0.0007061213,0.0047372133,0.015051037
s_016um_00233_00164-1,0.0032699704,0.0020186305,0.0004594326,0.0018325299,0.005010277,9.445101e-05,0.002984479,0.005619943,-1.617521e-05,-1.8347055e-07,0.00029484928,0.014999896,0.0049359053,0.00044370443,-9.2666596e-08,1.13509595e-05,-0.00020471215,0.00029098988,0.02199465,0.015461922,0.00032567233,0.014080733,0.002824679,0.009793609,-0.0001936853,-3.883615e-07,-2.6248395e-05,0.0030347854,2.7008355e-08,0.012917012,0.020419806,8.093193e-07,0.0078315735,4.8030168e-05,0.00015304983,-0.00024023652,1.8347055e-05,0.015002668,-1.8253922e-07,0.017883956,0.00034500659,0.00145863,0.010303974,7.6349825e-05,0.014782637,1.8242747e-05,0.024723649,0.00032377243,0.00021400303,0.022386163,-2.7924776e-05,-1.1539087e-06,0.0012326092,-1.7974526e-07,0.03488314,0.0021763295,0.0041823685,0.00017269701,0.010447592,0.00560686,1.0477379e-08,0.0040453523,0.0037658513,0.005039707,0.009085715,0.0010728687,0.014980823,0.0054033846,0.0065470636,0.006711453,0.0089251995,0.028636187,0.004526794,6.935373e-05,0.0006878823,0.018887252,0.0070545673,0.010109067,2.0675361e-07,-4.578382e-06,0.0032033622,0.016572595,-9.20333e-06,0.026970416,5.922094e-05,0.00015162677,-0.00014835596,1.4785677e-05,0.02137971,-0.0001399368,0.00013426691,5.1409006e-07,0.0040804297,0.015994787,0.0075458586,0.02092123,-3.5438687e-05,0.025870174,0.040834934,0.0034136772,0.03742963,2.8323382e-05,0.013179153,0.0007967353,0.026388496,0.029625326,0.023253411,0.0008094311,0.0011128187,0.029573292,0.00011982769,0.00014834851,0.00047638267,0.00017008185,0.009927988,4.1909516e-09,2.3338944e-06,0.006930262,0.0047329664,0.015878856
s_016um_00012_00301-1,0.0032900572,0.0021853298,0.00012791157,0.0020021796,0.005119011,0.0002040714,0.003105402,0.0057400465,-8.769333e-06,1.839362e-08,4.3570995e-05,0.014995962,0.0015874952,0.00044240057,-2.3283064e-08,1.5079975e-05,-0.0002444908,0.006109327,0.022545815,0.015509933,0.00034955144,0.013844192,0.023354322,0.013763905,-1.8339604e-05,-2.5164336e-06,-1.5422702e-06,0.0027595311,-2.514571e-08,0.014119267,0.020320565,1.9278377e-05,0.008620232,0.0014809519,0.00018852204,-0.00024019927,4.1965395e-06,0.015014321,0.00012260675,0.018848866,0.00038529932,0.0013764352,0.009024203,0.00029189885,0.014793545,1.5612692e-05,0.02478385,0.00032445043,0.00023268908,0.02283892,-1.1781231e-06,4.703179e-08,0.0017139018,4.8894435e-09,0.032999545,0.00027944148,0.003991455,3.4552068e-05,0.010482818,0.0056076944,-3.91528e-06,0.003970444,0.0037602782,0.0050068498,0.009022206,0.0009984225,0.014560521,0.005406663,0.0065690875,0.006743908,0.007735014,0.02863884,0.004367262,8.409843e-07,0.0006930381,0.018853664,0.0072285235,0.008523405,1.7374754e-05,-3.805384e-06,0.0025027245,0.016787708,-8.208677e-06,0.028507143,1.29416585e-05,0.0003143847,-0.0001468882,0.00022478402,0.02147615,-0.0001391545,5.2064657e-05,4.6174973e-06,0.0042421073,0.016196847,0.0054385066,0.02254054,-1.9785017e-05,0.026606172,0.050551057,0.003414303,0.037436903,2.8915703e-05,0.013179123,0.00078330934,0.027096748,0.030010581,0.025078356,0.0034131557,0.0007957369,0.029701054,0.00019738078,0.00019688904,0.0004944876,0.00020296127,0.011778474,0.00023192167,2.4959445e-07,0.003904581,0.0047347546,0.015687704
s_016um_00193_00300-1,0.0032982677,0.0021210164,0.00015416741,0.001855582,0.005038917,0.00041300803,0.0031134635,0.0057680607,-2.4616718e-05,-5.8673322e-08,6.7561865e-05,0.014991969,0.007880688,0.0005112961,-3.106892e-06,4.548952e-05,-0.00020771474,0.00023390353,0.021918744,0.015541226,0.00033795089,0.014306247,0.01785165,0.010162175,-4.1268766e-05,-1.925975e-06,-2.6382506e-05,0.0027267188,-4.5634806e-07,0.013491005,0.020275146,9.035692e-06,0.00838998,0.0011288375,0.00013236701,-0.00024023652,4.2710453e-06,0.0150030255,2.5384128e-05,0.018681496,0.00040975213,0.0013860762,0.011150837,0.00021187216,0.014779776,1.5284866e-05,0.024619967,5.6512654e-05,0.0002227202,0.022639543,-3.995374e-06,-2.1699816e-06,6.919727e-07,-5.3551048e-08,0.033186495,0.00047839433,0.0043581575,3.3326447e-05,0.010446221,0.005608648,-1.0617077e-07,0.0040152073,0.0037779957,0.0050067604,0.008996487,0.0010055751,0.014591485,0.005408883,0.00607872,0.0066628456,0.008287221,0.028636217,0.004362166,6.017089e-05,0.0006919205,0.018854916,0.0075833797,0.00892663,1.0915101e-05,-3.0845404e-06,0.0015513301,0.015725255,-5.3569674e-06,0.028725445,4.6297908e-05,0.00086069107,-0.000147596,0.00017227978,0.02151972,-0.00013848394,9.902567e-05,-6.519258e-07,0.004117325,0.015814066,0.004786849,0.021342605,-4.960969e-05,0.02661264,0.043848783,0.0034142137,0.037435025,3.1773e-05,0.013179094,0.00083877146,0.028886884,0.030138195,0.023944348,0.0003328696,0.0005019158,0.02982381,2.0340085e-05,0.00012776256,0.00052012503,0.00020778924,0.007917643,9.445101e-05,-3.483519e-05,0.0016975403,0.0047480613,0.014890045
s_016um_00136_00262-1,0.003314212,0.0021870583,0.00016654283,0.0018780082,0.0050224215,0.00035633147,0.0031063706,0.0058798194,-9.169802e-06,2.4400651e-06,0.0002513379,0.0149874985,0.0014297962,0.00047071278,-7.0687383e-07,1.0963529e-05,-0.00017837435,0.002705574,0.02218771,0.01607117,0.00039553642,0.014174074,0.017667264,0.011014193,-0.00011751801,1.1917204e-05,-2.6386231e-05,0.00289236,-1.4249235e-07,0.013769925,0.020317256,7.554144e-05,0.008141637,0.00034923106,0.00015445054,-0.00024022907,3.6992133e-06,0.015022427,7.7623874e-05,0.018404424,0.00038515776,0.0013995767,0.009866595,0.00018221885,0.014780581,1.963973e-05,0.025222898,0.00034415722,0.00022694468,0.02293256,1.17607415e-05,-1.3550743e-07,3.0227005e-05,-4.172325e-07,0.033411443,0.00032703578,0.0042339712,0.00010199845,0.010442436,0.005607128,-1.3489276e-05,0.0039913952,0.0037652254,0.0050066262,0.009035498,0.0012775362,0.014760613,0.005451232,0.0067442358,0.006712556,0.007436216,0.028636277,0.0043854117,0.00012139231,0.00073611736,0.01887229,0.0072871745,0.008575588,-5.075708e-08,2.4680048e-07,0.0049865693,0.015901,-9.080395e-09,0.0282031,6.3061714e-05,0.000100530684,-0.00014579296,0.00012333691,0.021416456,-0.00013379753,7.083267e-05,4.5225024e-06,0.0042104274,0.015975356,0.008156449,0.02239564,-2.5853515e-05,0.02691117,0.046882212,0.003418535,0.03748569,3.4429133e-05,0.013179004,0.0008788258,0.029714465,0.030317068,0.025272846,0.0017381757,0.002480179,0.029970884,2.7846545e-05,0.00015025586,0.0005369708,0.00020182133,0.01059708,3.225729e-05,-2.3283064e-07,0.0014105737,0.004747033,0.015362799
s_016um_00198_00380-1,0.0033005774,0.0021887422,3.2246113e-05,0.002042368,0.005051598,0.00019798428,0.0031327605,0.0058235526,-5.1837415e-06,1.1641532e-10,5.5845827e-05,0.014986157,0.004636094,0.00044622272,-7.757917e-07,1.9878149e-05,-0.00022798777,0.0026519746,0.021982372,0.016092896,0.0003452152,0.014038265,0.018809766,0.011403203,-7.697195e-05,1.06319785e-05,-2.6274472e-05,0.002649814,-5.066395e-07,0.014549673,0.020366251,8.063018e-05,0.008495986,0.00024084747,0.00017403066,-0.00024023652,4.1183084e-06,0.014971316,4.5653433e-05,0.018647134,0.00038807094,0.0013752431,0.010506749,0.00034798682,0.014779896,1.656264e-05,0.024141878,1.5493482e-05,0.00022029877,0.023042351,2.7287751e-07,-2.566725e-06,2.910383e-11,8.987263e-07,0.032982826,0.00021289289,0.004197493,0.001014322,0.010481864,0.005612254,-5.1837415e-05,0.0039885044,0.003768891,0.0050041676,0.00902015,0.0010217726,0.014607638,0.005410403,0.0069482923,0.006672561,0.007951021,0.028636396,0.004469827,0.00028330833,0.00042253733,0.01885596,0.007475674,0.008370221,-4.6100467e-08,7.143244e-07,0.0053562224,0.015870333,-4.33065e-08,0.027612507,2.0634383e-05,0.00061528385,-0.00014518946,5.8021396e-05,0.021436304,-0.00013801455,7.240847e-05,2.0861626e-07,0.00441584,0.015932858,0.0052372515,0.021944672,-4.9948692e-05,0.026484698,0.04116544,0.0034180284,0.037460804,3.184378e-05,0.01317966,0.0008776188,0.028893948,0.030109435,0.024237096,0.0009341985,0.0007882714,0.029764473,7.969141e-05,0.00012522936,0.00053245574,0.00022026151,0.008349627,0.00019905716,-3.3788383e-06,0.0016775727,0.0047407895,0.015188128
s_016um_00027_00068-1,0.003300935,0.0020779967,5.8569014e-05,0.001967907,0.0051192194,0.00021494925,0.003023848,0.0057946146,-5.820766e-11,-4.5634806e-08,1.2516975e-05,0.014999926,0.0016108304,0.00046113133,-1.1175871e-08,1.20438635e-05,-0.0002380535,0.00087086856,0.02225393,0.01571554,0.0003094226,0.013914138,0.005387649,0.011775821,-9.405613e-05,-1.899898e-07,-2.6319176e-05,0.0026459247,-1.4947727e-07,0.014349699,0.02037692,2.7135015e-05,0.008519262,0.00026392192,0.0001848042,-0.00024022162,5.8282167e-06,0.015021175,0.00010859221,0.01869145,0.00039658695,0.0013539642,0.009333432,0.00033488125,0.014784664,1.084432e-05,0.02482301,0.00022638589,0.00022444874,0.022663742,-9.778887e-07,-6.7520887e-09,-1.7572194e-05,0.0,0.033047438,0.0001789406,0.004177466,5.5920333e-05,0.010852993,0.005608827,-6.299466e-06,0.003998801,0.003775373,0.0050056577,0.009004682,0.0009944886,0.014590114,0.0054365396,0.005831152,0.0066664517,0.0077295005,0.028641552,0.0044646114,9.1671944e-05,0.00076036155,0.018865615,0.007394135,0.009444863,1.9837171e-07,-1.7017126e-05,0.00412111,0.01591304,-1.8626451e-09,0.0284442,6.755814e-05,0.0001327619,-0.00014488399,6.849319e-05,0.021518588,-0.00012435764,6.73458e-05,1.2058765e-05,0.004154697,0.016480386,0.0059292316,0.02237758,-2.4717301e-05,0.027282715,0.046743095,0.0034252107,0.037537724,3.5505742e-05,0.013179421,0.00086697936,0.029591918,0.030639976,0.023696303,0.0035918504,0.00068061054,0.029816747,0.0003754422,0.00016608089,0.00053596497,0.00022959709,0.01165089,0.00043352693,1.3239682e-05,0.0011440665,0.004731983,0.015617043
s_016um_00217_00180-1,0.0032024384,0.002146095,0.00070492923,0.001821965,0.005032465,5.122274e-05,0.0030834228,0.0057066083,-1.6018748e-07,3.1366944e-06,0.00018134713,0.0150003135,0.0063795745,0.0006058216,-1.816079e-08,8.251518e-05,-0.00012480468,0.0039234906,0.02234298,0.015627712,0.00034566224,0.014315575,0.00796023,0.011222094,-0.000116705894,-2.7436763e-06,-2.6337802e-05,0.0028458387,-2.8312206e-07,0.013702899,0.020298868,0.00017318875,0.00809297,0.00016130507,0.00014875084,-0.00024023652,2.6915222e-06,0.015041947,2.933666e-06,0.018139958,0.00037668645,0.0013098866,0.01183629,0.00016828626,0.014781117,1.5687197e-05,0.024587572,4.797429e-05,0.00021719933,0.022539794,-5.2191317e-06,6.9849193e-10,-7.0780516e-07,5.206093e-07,0.03298837,0.00044060498,0.004252851,9.664893e-05,0.0104519725,0.005607724,-9.154901e-07,0.0040730983,0.0037905872,0.005019754,0.009014726,0.00092470646,0.014707178,0.005427271,0.0058377385,0.006651938,0.008520216,0.028636217,0.0044512153,0.00011835247,0.000531584,0.018855631,0.007492125,0.009251386,2.0898879e-06,-3.7401915e-06,0.0024964362,0.015549123,-2.8908253e-06,0.02768287,0.00020985305,0.00029070675,-0.00014783442,7.50944e-05,0.02151671,-0.00013568997,7.2173774e-05,9.1735274e-08,0.004170537,0.015926957,0.0062048137,0.021436036,-4.034117e-05,0.026403338,0.042235255,0.0034156442,0.037448585,3.1858683e-05,0.0131803155,0.0008547753,0.027887702,0.030169487,0.025497109,0.0006812811,0.0019794554,0.029832453,9.85153e-06,0.0001282692,0.00050700456,0.00020727515,0.008623719,7.541478e-05,3.079325e-05,0.0027972609,0.0047302395,0.015038371
s_016um_00224_00262-1,0.003205642,0.0021059662,0.00026993454,0.0019742101,0.0050912797,0.0002431944,0.0030762106,0.0059072673,-1.354143e-06,-2.4400651e-07,7.6752156e-05,0.01499182,0.0031034201,0.00048249215,-1.8533319e-07,2.5566667e-05,-0.00024372339,0.0029858053,0.022361249,0.016158313,0.00035946816,0.014023602,0.014701337,0.012061298,-3.5598874e-05,-6.0666353e-06,-2.6106834e-05,0.0026483983,-1.6763806e-07,0.013882965,0.020332783,6.15567e-05,0.008578271,0.00085523725,0.0001905784,-0.00024021417,6.6217035e-06,0.015014261,6.844103e-05,0.018824965,0.00039939582,0.0013564378,0.010249078,0.00023481995,0.014782608,1.1079013e-05,0.02452752,0.000109151006,0.00022538751,0.022869736,2.5741756e-05,8.37259e-07,8.4433705e-06,1.3504177e-08,0.03286898,0.00019966811,0.0041741133,9.1433525e-05,0.010473549,0.0056085885,-1.2509525e-05,0.004004061,0.003779009,0.0050052404,0.008997083,0.0009519458,0.0146306455,0.005409345,0.006261915,0.006691575,0.008117795,0.02863738,0.004433498,7.0907176e-05,0.0005355105,0.018859833,0.0072843432,0.009202212,3.2410026e-07,-2.585724e-05,0.00179106,0.015804648,-3.8929284e-06,0.02742061,3.2372773e-05,0.00014581531,-0.0001437813,0.00011110306,0.021454185,-0.00013843924,6.47977e-05,1.2712553e-07,0.004227996,0.015988022,0.005565077,0.021893054,-4.1183084e-05,0.02674684,0.044487625,0.0034186244,0.037467718,3.2439828e-05,0.013179183,0.0008518249,0.028910965,0.030150712,0.024859786,0.0009838194,0.0005789101,0.02982065,3.5747886e-05,0.00014823675,0.0005273223,0.00020513684,0.009015232,6.474182e-05,7.2456896e-07,0.0020165145,0.004745856,0.015032291
s_016um_00313_00231-1,0.0032442212,0.0021835119,0.000113636255,0.0018752068,0.005015582,0.00012239814,0.003054142,0.0056488216,-1.2665987e-07,3.8649887e-08,0.00014213473,0.0149872005,0.003149107,0.0005046502,-4.749745e-08,1.771748e-05,-0.00023701042,0.0014301836,0.022101462,0.015857726,0.00036717206,0.013946772,0.009449393,0.010935634,-0.0001700893,4.0460378e-05,-2.6401132e-05,0.0028198957,-2.1606684e-07,0.0136220455,0.020411372,6.129965e-06,0.008118153,0.00022034347,0.00013840944,-0.00024022162,2.092868e-05,0.015013158,3.614649e-05,0.01886329,0.00041062385,0.0014487952,0.009456515,0.0002276972,0.014784157,2.528727e-05,0.024757892,8.6419284e-05,0.00021950155,0.02258718,-5.7723373e-06,-2.3953617e-06,3.0715019e-06,-4.582107e-07,0.03316796,0.00038269162,0.004436955,6.4555556e-05,0.010445446,0.005607277,-3.9163977e-05,0.0040198416,0.003784418,0.0050076395,0.009070188,0.0010171682,0.014945716,0.005395055,0.005938977,0.006646365,0.0081472695,0.028636217,0.0043882877,0.0001885891,0.0005499497,0.018858075,0.007275045,0.009220183,8.614734e-09,-2.3446977e-05,0.002147019,0.015527189,-5.384907e-06,0.026658714,1.6544014e-05,4.3477863e-05,-0.00014790148,3.1270087e-05,0.021489888,-0.00013483316,4.453212e-05,3.5297126e-06,0.0041635484,0.016081631,0.0064613223,0.021529585,-4.5016408e-05,0.026236296,0.04054728,0.003414467,0.037435412,2.9731542e-05,0.013179809,0.0008402169,0.027835667,0.02982691,0.023962438,0.0009765774,0.001493752,0.029714525,8.945167e-05,0.00013608485,0.00050061196,0.00019652396,0.009100169,7.082522e-05,0.00015171617,0.0007866472,0.004747346,0.015665293
s_016um_00191_00047-1,0.0032613128,0.0022342205,0.00014212728,0.0019410551,0.005028516,0.00015018135,0.0030238032,0.005894214,-1.7210841e-06,8.195639e-08,5.191937e-05,0.014993757,0.0025262684,0.0004891306,-7.4040145e-08,2.7157366e-05,-0.00024168193,0.0012467206,0.02223301,0.016230792,0.0003733337,0.013789773,0.013025731,0.011710972,-7.273257e-05,4.6808273e-06,-2.637878e-05,0.0026881546,-3.259629e-08,0.013769269,0.020359516,3.9104372e-05,0.008495033,0.0006299913,0.000114001334,-0.00024023652,1.0948628e-05,0.015029252,3.1050295e-05,0.018690467,0.00039643794,0.001348421,0.009990782,0.00020691752,0.014780015,1.3783574e-05,0.024760008,0.00019973516,0.0002161637,0.02271238,-8.208677e-06,-5.1409006e-07,2.2482127e-05,-3.4924597e-08,0.0336805,0.00091189146,0.0046666116,3.4648925e-05,0.010451883,0.00560984,-1.9192696e-05,0.0040816218,0.0038037896,0.0050102323,0.00904879,0.0010226369,0.014731199,0.005436361,0.006771356,0.0067454875,0.008013338,0.028636217,0.0044701546,0.00031675398,0.00059141964,0.018868953,0.0073753,0.008864611,2.0302832e-07,5.1163137e-05,0.0018972605,0.015416145,-8.953735e-06,0.027043194,7.914007e-05,9.023398e-05,-0.00014734268,0.00012309849,0.021378785,-0.00013912469,5.6575984e-05,-5.820766e-11,0.004202649,0.015799105,0.006180823,0.021290213,-3.8888305e-05,0.026999831,0.042459726,0.0034170449,0.037452906,3.492087e-05,0.013179749,0.0008699149,0.030745983,0.03071627,0.024568379,0.0005143434,0.00078350306,0.029839605,4.993379e-05,0.00013141334,0.0005222112,0.00020656735,0.008752823,0.00010345131,3.0394644e-05,0.0008870065,0.004743248,0.015349448
s_016um_00229_00278-1,0.0032234192,0.002141416,0.0002488494,0.0018733889,0.0050386786,0.00019771606,0.003110692,0.0057531297,7.171184e-07,-7.21775e-09,9.894371e-05,0.014996588,0.012475342,0.00054300576,-1.0272488e-06,6.063655e-05,-0.00023455918,0.0009306371,0.022319704,0.016075402,0.00030981004,0.014709353,0.018422097,0.010722041,-3.572181e-05,-2.1234155e-06,-2.6404858e-05,0.0025212318,-7.6927245e-07,0.013700187,0.020290047,0.0002065301,0.008304983,0.00025536865,0.00012552738,-0.00024022907,2.644956e-06,0.015012026,7.740408e-05,0.018910319,0.00040770322,0.0013080388,0.012924314,0.00020686537,0.014779687,1.1451542e-05,0.024410725,9.551644e-06,0.00021959841,0.022544146,6.6138804e-05,2.910383e-10,-1.5050173e-06,-1.21071935e-08,0.03225535,0.00011341274,0.00422132,4.069507e-05,0.0104673505,0.00561139,-5.9042126e-05,0.004001826,0.0037831962,0.0050026625,0.008985192,0.000958547,0.014595807,0.0054098815,0.0070533156,0.0066854954,0.008063376,0.028636605,0.004346594,0.00020112842,0.000542067,0.018859595,0.007297039,0.009110332,2.3003668e-07,-3.5297126e-06,0.0038004667,0.016242236,-2.6635826e-07,0.028119624,0.00018521398,0.00042970479,-0.00014600158,7.73184e-05,0.021666318,-0.00013928115,7.3857605e-05,-1.5236437e-06,0.0042384565,0.015672684,0.00476712,0.021498948,-4.677847e-05,0.027159333,0.0443179,0.0034136325,0.03743723,3.4064054e-05,0.013179153,0.00085906684,0.029182762,0.030084044,0.025783837,0.00029272586,0.0008306354,0.029928982,7.079914e-06,0.00013609976,0.00056648254,0.00021656603,0.007886022,4.8477203e-05,-4.7888607e-06,0.0015936941,0.004755035,0.014666975
